student_id,student_name,study_hours,attendance,sleep_hours,internet_usage,assignments_completed,previous_score
149,Dhruv Pande,9,100,7.7,4.3,5,64
150,Divya Kapoor,1,85,6.9,3.8,9,79
151,Gaurav Pawar,9,69,8.6,7,3,47
152,Isha Khan,3,76,5.2,6.9,8,73
153,Karan Kale,10,80,6.4,6.1,5,62
154,Kavya Gaikwad,3,79,6.4,6.8,3,91
155,Kiran Desai,5,66,6.4,1.9,2,82
156,Kunal Dhumal,7,64,7,6.3,4,92
157,Manish Malik,2,74,8.2,3.3,2,57
158,Meera Ingale,6,97,6.3,7.1,3,76
159,Mohit Singh,6,89,8,3.6,6,75
160,Neha Shinde,8,94,5.6,1.4,9,54
161,Nikhil Naik,10,67,7.2,3.9,6,58
162,Nisha Kadam,7,76,6.5,6.3,8,77
163,Pallavi Lokhande,5,83,7.2,4.5,2,48
164,Pankaj Roy,5,77,5.4,6.3,4,62
165,Pooja Borkar,5,77,8.8,1.2,7,81
166,Prakash Gupta,9,74,8.6,2.2,2,87
167,Priya Chavan,4,62,8.3,4.9,7,73
168,Rahul Thakur,2,95,8.6,3.7,3,77
169,Raj Gawande,4,98,5.6,5.8,5,86
170,Rakesh Salve,1,63,7,7.7,7,52
171,Riya Das,2,76,6.3,5.6,10,78
172,Rohan Mane,1,81,8.5,3.9,2,81
173,Rohit Joshi,8,92,5.8,4.8,6,85
174,Sachin More,8,100,5.9,7.4,6,74
175,Sakshi Raut,7,77,7.7,5.7,2,48
176,Sameer Sawant,5,90,5.4,6.6,7,42
177,Sana Rathod,8,98,7.9,3.1,2,74
178,Sanjay Iyer,2,94,6.1,6.2,8,55
179,Sanya Pandey,10,71,7.6,2,3,60
180,Shivam Verma,6,93,8.5,6.2,3,65
181,Shraddha Kulkarni,10,76,7.4,7.2,2,81
182,Shreya Agrawal,2,60,5.9,7.3,6,59
183,Sneha Suryawanshi,5,91,5.2,1.8,4,72
184,Sonali Chaudhary,7,94,5.2,6.8,6,67
185,Sonal Reddy,5,74,5.4,1.8,10,43
186,Sourabh Dubey,5,78,7.3,4.3,9,78
187,Tanmay Patil,2,74,6.4,5.8,8,69
188,Tanya Deshmukh,4,64,6,4.4,6,52
189,Varun Mehta,3,100,5.9,3.4,3,81
190,Vikas Wagh,4,60,8.8,5.8,5,45
191,Vijay Yadav,7,82,5.5,5.6,2,54
192,Vishal Nair,7,60,6.2,5.1,3,53
193,Yash Saxena,7,88,6.9,4.7,4,76
194,Yogesh Sharma,4,96,5,5.9,8,95
195,Zoya Jadhav,10,86,8.7,3.8,9,87
196,Aarav Mishra,1,84,5.4,1.5,7,47
197,Aditi Bhosale,4,93,7.7,4.8,4,43
198,Aditya Tiwari,2,99,7.5,6.1,8,84
199,Akash Pande,4,95,8.2,3.1,10,72
200,Akshay Kapoor,10,69,7.6,2,7,60
201,Aman Pawar,4,83,8.1,7.4,8,89
202,Amit Khan,10,93,6.7,7,9,49
203,Ananya Kale,5,72,7,5.3,8,47
204,Aniket Gaikwad,7,87,7.8,6.5,9,67
205,Anjali Desai,5,60,7.3,7.8,4,55
206,Arjun Dhumal,3,95,7,5,4,53
207,Aryan Malik,8,85,5.8,2.7,3,75
208,Ashish Ingale,10,90,6,5.5,3,57
209,Ayush Singh,3,93,6.4,7.4,6,72
210,Bhavna Shinde,8,68,5,5.8,10,71
211,Chetan Naik,3,78,6.7,1.2,3,84
212,Deepak Kadam,8,95,5,7.4,8,94
213,Deepika Lokhande,8,66,7.3,6.3,2,75
214,Dhruv Roy,5,93,7.8,3.8,10,56
215,Divya Borkar,8,71,7.2,7.9,6,72
216,Gaurav Gupta,3,83,7.8,6.1,6,67
217,Isha Chavan,1,80,5,6.8,5,65
218,Karan Thakur,1,88,5.2,7.6,10,59
219,Kavya Gawande,5,94,7.8,1.3,5,44
220,Kiran Salve,10,74,8.2,6.4,3,53
221,Kunal Das,2,67,7.9,3.7,7,73
222,Manish Mane,5,77,7.7,7.1,7,43
223,Meera Joshi,8,85,7.8,7.2,8,48
224,Mohit More,3,90,8,6.8,6,71
225,Neha Raut,8,90,7.9,6.5,4,95
226,Nikhil Sawant,4,73,8,6.6,2,49
227,Nisha Rathod,9,98,5.3,3.1,10,44
228,Pallavi Iyer,6,63,5.3,3.8,3,59
229,Pankaj Pandey,6,64,6.4,1.8,5,44
230,Pooja Verma,2,61,7.1,6.8,3,90
231,Prakash Kulkarni,5,97,8.1,5.5,4,84
232,Priya Agrawal,9,67,6.3,5.3,2,46
233,Rahul Suryawanshi,1,84,6.1,2.7,5,45
234,Raj Chaudhary,8,93,8.1,5.3,10,70
235,Rakesh Reddy,5,91,6,4.2,4,62
236,Riya Dubey,8,98,8.3,8,10,78
237,Rohan Patil,7,62,5.7,7,7,91
238,Rohit Deshmukh,5,76,6.4,4.7,10,58
239,Sachin Mehta,4,80,6.6,6.7,7,84
240,Sakshi Wagh,7,88,6.2,2.2,10,58
241,Sameer Yadav,2,85,5,1.7,6,53
242,Sana Nair,6,82,5.9,5.4,9,94
243,Sanjay Saxena,1,72,6.4,6.1,2,54
244,Sanya Sharma,7,64,6.3,1.4,10,48
245,Shivam Jadhav,7,77,8.1,2.4,2,73
246,Shraddha Mishra,1,70,5.2,4.8,3,73
247,Shreya Bhosale,8,82,6.6,1.4,8,67
248,Sneha Tiwari,5,92,5.2,4,4,44
249,Sonali Pande,8,82,8.7,4.4,2,46
250,Sonal Kapoor,1,83,8.2,7.5,9,82
251,Sourabh Pawar,2,61,8.9,3.2,6,48
252,Tanmay Khan,5,86,8.6,2.2,6,55
253,Tanya Kale,2,78,6.3,1.1,4,84
254,Varun Gaikwad,4,65,7.8,1.9,8,58
255,Vikas Desai,7,68,6.2,6.3,4,59
256,Vijay Dhumal,2,92,8.6,4.1,7,91
257,Vishal Malik,7,97,6.6,2.4,3,84
258,Yash Ingale,2,80,6.5,7.5,4,79
259,Yogesh Singh,2,100,8.7,6.5,2,50
260,Zoya Shinde,6,67,8.3,1.8,4,55
261,Aarav Naik,8,72,8.9,2.9,5,73
262,Aditi Kadam,2,98,5.3,6.9,8,86
263,Aditya Lokhande,3,67,6,5.8,9,68
264,Akash Roy,10,87,6.2,7.6,6,81
265,Akshay Borkar,10,68,6.7,1.5,10,58
266,Aman Gupta,6,73,6.9,6.4,5,60
267,Amit Chavan,5,79,6.2,1.5,6,74
268,Ananya Thakur,4,74,8.2,3.4,7,71
269,Aniket Gawande,7,95,5.9,6.3,3,46
270,Anjali Salve,6,99,7.8,6,5,61
271,Arjun Das,3,80,8.4,1,10,87
272,Aryan Mane,1,81,7.4,2.4,6,69
273,Ashish Joshi,2,62,6.4,6.5,10,81
274,Ayush More,10,69,5.8,1.9,8,86
275,Bhavna Raut,5,61,5.5,3.3,3,56
276,Chetan Sawant,5,95,8,2.3,6,53
277,Deepak Rathod,5,69,6.9,1.8,5,72
278,Deepika Iyer,8,73,5.2,6.9,10,66
279,Dhruv Pandey,1,94,8.9,1.4,5,90
280,Divya Verma,1,89,7.7,4.8,6,50
281,Gaurav Kulkarni,3,85,8.4,5.8,8,63
282,Isha Agrawal,5,61,6.8,1.4,10,42
283,Karan Suryawanshi,7,83,8.8,5.4,6,60
284,Kavya Chaudhary,5,82,5.8,3.3,9,72
285,Kiran Reddy,5,73,5.7,6.8,3,84
286,Kunal Dubey,10,90,8.6,6.6,10,87
287,Manish Patil,2,98,8.6,6.6,3,40
288,Meera Deshmukh,6,70,7,3.8,8,88
289,Mohit Mehta,6,73,5.5,6.8,6,78
290,Neha Wagh,5,73,6.2,5.4,7,51
291,Nikhil Yadav,9,94,8,3.7,2,52
292,Nisha Nair,3,63,8.4,1.6,6,83
293,Pallavi Saxena,10,96,6.4,1.5,2,78
294,Pankaj Sharma,4,91,5.2,2.8,6,51
295,Pooja Jadhav,6,79,7.7,3.1,5,64
296,Prakash Mishra,6,83,8,7.5,3,88
297,Priya Bhosale,9,96,6.7,8,6,41
298,Rahul Tiwari,5,91,7.3,2,3,68
299,Raj Pande,3,71,8.9,7.6,2,88
300,Rakesh Kapoor,1,62,6,5.9,2,40
301,Riya Pawar,4,86,7.3,4.5,5,70
302,Rohan Khan,9,65,7.4,7.7,8,71
303,Rohit Kale,1,63,7.2,6,7,57
304,Sachin Gaikwad,9,100,8.5,5.2,3,70
305,Sakshi Desai,6,79,7.4,2.5,5,79
306,Sameer Dhumal,2,86,7,2.7,7,55
307,Sana Malik,4,68,5.5,7.4,4,67
308,Sanjay Ingale,6,64,7.8,2.5,3,70
309,Sanya Singh,4,62,5.5,1.2,4,41
310,Shivam Shinde,2,74,5.1,2.9,2,51
311,Shraddha Naik,7,60,7,4.4,4,76
312,Shreya Kadam,7,77,7.3,3.7,6,67
313,Sneha Lokhande,2,73,9,7.6,9,94
314,Sonali Roy,3,81,7.8,3.9,9,87
315,Sonal Borkar,3,84,8.4,7.2,8,52
316,Sourabh Gupta,7,72,6.4,5.2,5,95
317,Tanmay Chavan,8,78,7,4.7,10,88
318,Tanya Thakur,8,63,8.9,2.1,10,63
319,Varun Gawande,10,72,6.7,2.9,5,74
320,Vikas Salve,8,100,8.2,7.1,2,55
321,Vijay Das,4,100,7.1,6.5,5,44
322,Vishal Mane,2,79,5.9,4.1,6,53
323,Yash Joshi,7,98,7.3,7.4,8,80
324,Yogesh More,10,80,5.9,6.7,3,71
325,Zoya Raut,10,65,5,1.8,6,64
326,Aarav Sawant,3,95,5.9,5.2,4,66
327,Aditi Rathod,3,77,5.8,6.6,6,84
328,Aditya Iyer,1,85,6.5,6.7,2,78
329,Akash Pandey,2,86,8.6,1.6,6,75
330,Akshay Verma,6,72,6.6,2.6,2,68
331,Aman Kulkarni,6,90,8.4,3.9,9,40
332,Amit Agrawal,4,80,7.2,2.8,8,58
333,Ananya Suryawanshi,4,75,5,1.8,10,47
334,Aniket Chaudhary,9,72,5.8,5.4,7,83
335,Anjali Reddy,5,90,8.7,4.6,10,59
336,Arjun Dubey,9,70,7.4,2.1,3,53
337,Aryan Patil,10,65,8.7,5.1,2,66
338,Ashish Deshmukh,4,96,6.2,1.4,10,66
339,Ayush Mehta,3,73,7.9,3.7,7,92
340,Bhavna Wagh,10,86,8.1,6.5,8,50
341,Chetan Yadav,7,89,8.9,7.2,4,86
342,Deepak Nair,3,94,5.1,2.7,5,52
343,Deepika Saxena,7,85,8.8,7,8,84
344,Dhruv Sharma,6,89,6.6,7.2,5,70
345,Divya Jadhav,10,94,8.4,5.2,2,70
346,Gaurav Mishra,3,98,7.2,7.9,4,79
347,Isha Bhosale,10,61,7.3,2.7,5,45
348,Karan Tiwari,10,90,6.4,1.5,9,84
349,Kavya Pande,2,67,8.3,6.9,5,81
350,Kiran Kapoor,2,96,6.1,4.4,6,51
351,Kunal Pawar,6,61,7,3.4,7,44
352,Manish Khan,1,70,7.2,1.4,3,80
353,Meera Kale,3,67,8,1.5,7,45
354,Mohit Gaikwad,5,84,6.9,1.6,3,72
355,Neha Desai,10,60,7.7,2.3,9,54
356,Nikhil Dhumal,10,60,6.9,7.8,4,80
357,Nisha Malik,2,80,7.6,3,4,91
358,Pallavi Ingale,9,99,7.7,6.7,5,87
359,Pankaj Singh,1,81,7.8,1.1,5,81
360,Pooja Shinde,8,78,8.3,3.3,7,75
361,Prakash Naik,9,86,7.2,7.3,8,44
362,Priya Kadam,9,82,5.8,2.3,10,93
363,Rahul Lokhande,3,75,7.7,3,9,91
364,Raj Roy,9,84,5.3,6.8,4,43
365,Rakesh Borkar,2,60,5.9,1.8,7,83
366,Riya Gupta,6,70,8.2,1.4,4,45
367,Rohan Chavan,5,87,6.7,7.8,9,73
368,Rohit Thakur,4,74,7,3.8,2,53
369,Sachin Gawande,1,62,8.9,5.6,10,47
370,Sakshi Salve,8,65,5.9,1.9,5,52
371,Sameer Das,4,95,5.1,2.5,8,57
372,Sana Mane,7,73,5.4,4.2,8,59
373,Sanjay Joshi,5,60,6,5.7,5,56
374,Sanya More,4,89,7.9,3.1,10,65
375,Shivam Raut,9,81,8.1,7.2,4,75
376,Shraddha Sawant,1,78,7.3,6.5,8,65
377,Shreya Rathod,8,96,6,4.9,10,72
378,Sneha Iyer,8,72,7.1,4.2,3,61
379,Sonali Pandey,4,83,5.1,5.3,10,55
380,Sonal Verma,3,90,7.7,6.1,10,48
381,Sourabh Kulkarni,1,84,7.5,1.9,5,57
382,Tanmay Agrawal,10,68,5.1,7,9,50
383,Tanya Suryawanshi,10,87,8.3,4.4,2,69
384,Varun Chaudhary,3,90,8.1,7.5,3,76
385,Vikas Reddy,1,65,6.2,7.7,8,87
386,Vijay Dubey,2,66,7.5,1.2,10,56
387,Vishal Patil,1,87,7.4,3.7,3,47
388,Yash Deshmukh,9,64,5.6,4.7,8,85
389,Yogesh Mehta,9,96,5.8,4.8,2,80
390,Zoya Wagh,2,64,7.7,6.8,9,57
391,Aarav Yadav,8,99,8.7,2,10,95
392,Aditi Nair,2,87,7.3,5.4,6,75
393,Aditya Saxena,4,78,7.3,7.6,2,81
394,Akash Sharma,6,71,7.6,8,3,59
395,Akshay Jadhav,8,74,6.8,1.1,6,64
396,Aman Mishra,9,90,5.2,7.8,9,59
397,Amit Bhosale,1,90,6.6,1.9,6,80
398,Ananya Tiwari,2,68,8.6,4.8,6,85
399,Aniket Pande,3,82,8.2,2.7,7,88
400,Anjali Kapoor,4,100,8.7,5.2,10,58
401,Arjun Pawar,10,70,5.6,1.3,9,83
402,Aryan Khan,8,88,7,2.7,3,78
403,Ashish Kale,4,67,7.3,3.1,3,40
404,Ayush Gaikwad,10,94,5.8,7.4,5,84
405,Bhavna Desai,5,66,5.8,5.1,4,47
406,Chetan Dhumal,6,72,8.1,6,8,47
407,Deepak Malik,5,78,7.7,5.7,10,45
408,Deepika Ingale,2,75,7.6,3.7,7,70
409,Dhruv Singh,10,66,6.1,1.1,10,41
410,Divya Shinde,1,86,7,1.7,5,68
411,Gaurav Naik,2,60,5.1,4.2,8,80
412,Isha Kadam,3,100,5.5,7.6,8,69
413,Karan Lokhande,3,62,7.1,2.7,4,54
414,Kavya Roy,2,73,6.2,5.9,8,58
415,Kiran Borkar,1,98,8.9,6.8,6,80
416,Kunal Gupta,7,66,6.9,7.3,7,59
417,Manish Chavan,10,62,5.3,3.1,4,77
418,Meera Thakur,2,90,5.1,7.5,4,78
419,Mohit Gawande,3,63,7.9,5.3,9,69
420,Neha Salve,6,96,5.7,4.6,7,60
421,Nikhil Das,10,78,5.8,6.4,3,43
422,Nisha Mane,7,95,6.7,2.7,6,81
423,Pallavi Joshi,8,70,6.1,6.7,7,57
424,Pankaj More,6,65,7.5,5.5,9,65
425,Pooja Raut,5,99,6.9,6.6,9,41
426,Prakash Sawant,2,91,5.4,7,7,81
427,Priya Rathod,9,97,8.1,5.3,2,90
428,Rahul Iyer,9,73,6.7,1.3,6,89
429,Raj Pandey,1,76,7.4,3.1,3,57
430,Rakesh Verma,8,83,5,7.1,2,44
431,Riya Kulkarni,1,78,7.5,5.4,10,45
432,Rohan Agrawal,8,69,6.1,7.2,3,61
433,Rohit Suryawanshi,9,75,7,3.7,4,40
434,Sachin Chaudhary,2,84,6.2,4.5,5,50
435,Sakshi Reddy,5,61,9,7,6,74
436,Sameer Dubey,2,73,5.9,6.3,7,42
437,Sana Patil,6,72,8.7,3.6,4,74
438,Sanjay Deshmukh,10,62,8.7,1.2,9,88
439,Sanya Mehta,1,65,6.7,7.2,3,95
440,Shivam Wagh,4,80,6.2,6.5,10,94
441,Shraddha Yadav,10,64,6.5,4.1,9,56
442,Shreya Nair,4,74,9,4.8,7,76
443,Sneha Saxena,2,82,7.5,2.4,2,42
444,Sonali Sharma,5,95,7.2,3.9,8,53
445,Sonal Jadhav,6,64,5.1,2.1,8,83
446,Sourabh Mishra,7,77,8.4,2.5,7,51
447,Tanmay Bhosale,4,64,5.3,6.9,4,57
448,Tanya Tiwari,10,77,5.2,3.5,5,62
449,Varun Pande,6,79,6.1,6.7,5,58
450,Vikas Kapoor,3,92,6.9,4.3,7,81
451,Vijay Pawar,10,78,8.6,1.5,4,90
452,Vishal Khan,10,98,8.2,3.5,5,70
453,Yash Kale,5,65,5.8,2.1,10,72
454,Yogesh Gaikwad,1,62,6.5,5.9,6,80
455,Zoya Desai,6,60,8.1,7.4,7,62
456,Aarav Dhumal,6,74,7.1,6.3,10,65
457,Aditi Malik,2,67,5.7,6.4,10,93
458,Aditya Ingale,7,63,6.6,7,7,61
459,Akash Singh,9,69,7.5,6.4,4,54
460,Akshay Shinde,2,99,8.9,5,2,41
461,Aman Naik,8,92,7.6,6,9,41
462,Amit Kadam,2,60,5.1,3.9,6,83
463,Ananya Lokhande,8,97,7.8,1.5,7,52
464,Aniket Roy,5,68,6,5.9,10,81
465,Anjali Borkar,1,76,8.4,6.1,5,42
466,Arjun Gupta,10,73,6.5,2.6,2,84
467,Aryan Chavan,2,76,5.8,7.7,8,62
468,Ashish Thakur,6,91,6.9,1.4,10,85
469,Ayush Gawande,2,89,6,6.2,3,86
470,Bhavna Salve,10,84,5.9,7.8,10,71
471,Chetan Das,8,85,7.3,3.2,6,94
472,Deepak Mane,9,89,8.1,7.4,7,92
473,Deepika Joshi,5,67,8.3,6.8,10,79
474,Dhruv More,5,76,6.6,6.2,4,67
475,Divya Raut,7,64,5.3,7.7,8,91
476,Gaurav Sawant,8,88,6.9,5.6,2,94
477,Isha Rathod,9,77,6.7,4.5,8,62
478,Karan Iyer,1,86,5.8,5.7,2,58
479,Kavya Pandey,7,83,8.6,3.9,2,56
480,Kiran Verma,2,71,8.9,3.3,5,92
481,Kunal Kulkarni,3,65,5.2,1.6,5,48
482,Manish Agrawal,9,99,8.2,3.6,9,40
483,Meera Suryawanshi,3,72,7.6,6.6,10,68
484,Mohit Chaudhary,8,64,6,7.6,10,93
485,Neha Reddy,5,72,7.5,7.8,7,58
486,Nikhil Dubey,3,96,5.5,2.4,3,68
487,Nisha Patil,4,70,5.3,5,8,46
488,Pallavi Deshmukh,6,100,9,5,6,85
489,Pankaj Mehta,8,78,7.5,2.2,6,92
490,Pooja Wagh,7,95,6,5.1,6,75
491,Prakash Yadav,10,86,6.8,3.5,9,46
492,Priya Nair,9,61,8.8,7.6,5,45
493,Rahul Saxena,8,80,6.8,2.8,10,81
494,Raj Sharma,7,77,8.6,6.8,6,47
495,Rakesh Jadhav,3,68,8.5,7.3,8,43
496,Riya Mishra,5,82,6.4,6.2,10,89
497,Rohan Bhosale,2,64,7.8,2.5,9,69
498,Rohit Tiwari,4,88,7.6,2.8,5,73
499,Sachin Pande,10,93,8.1,7.8,3,77
500,Sakshi Kapoor,5,63,6.5,1.5,3,59
501,Sameer Pawar,2,79,5.2,1.8,5,53
502,Sana Khan,7,86,5.7,7.8,7,69
503,Sanjay Kale,10,62,7.5,6.4,9,44
504,Sanya Gaikwad,9,75,8.1,6.2,2,56
505,Shivam Desai,3,70,8,2.1,6,73
506,Shraddha Dhumal,5,61,7.3,4.4,10,92
507,Shreya Malik,6,92,5.3,6.9,9,73
508,Sneha Ingale,3,78,5.1,3.3,10,82
509,Sonali Singh,3,90,8.1,2.3,10,57
510,Sonal Shinde,3,84,7.2,1.1,2,43
511,Sourabh Naik,10,95,8.1,5.4,8,61
512,Tanmay Kadam,8,100,5.7,3.1,6,78
513,Tanya Lokhande,9,84,6.6,7,6,42
514,Varun Roy,9,74,8.7,3,9,88
515,Vikas Borkar,10,77,5.7,2.1,10,56
516,Vijay Gupta,2,93,5.2,7.7,6,78
517,Vishal Chavan,9,77,7.6,7.8,7,89
518,Yash Thakur,1,81,7.4,5.8,6,74
519,Yogesh Gawande,5,67,8.8,7.5,7,49
520,Zoya Salve,6,100,8.6,2.1,10,54
521,Aarav Das,4,86,8,4.2,9,66
522,Aditi Mane,2,73,5.1,2.4,4,94
523,Aditya Joshi,2,83,6.9,4.4,9,77
524,Akash More,9,76,8.6,6.5,6,74
